ImageID,OriginalURL,OriginalLandingURL,XMin,YMin,XMax,YMax,Labels
d3be59dfcca3d208,https://c1.staticflickr.com/4/3951/15729204092_1e76171ccf_o.jpg,https://www.flickr.com/photos/bartosz/15729204092,0.043125,0.0,0.999375,0.992495,/m/0kbfd
d3be59dfcca3d208,https://c1.staticflickr.com/4/3951/15729204092_1e76171ccf_o.jpg,https://www.flickr.com/photos/bartosz/15729204092,0.0,0.0,0.999375,0.999062,/m/0kbfd
3b111e72cda2f9dd,https://c6.staticflickr.com/8/7352/16341498027_6d8af70559_o.jpg,https://www.flickr.com/photos/fatbearphotography/16341498027/,0.0,0.0,0.9975,0.307778,/m/0kbfd
3b111e72cda2f9dd,https://c6.staticflickr.com/8/7352/16341498027_6d8af70559_o.jpg,https://www.flickr.com/photos/fatbearphotography/16341498027/,0.04875,0.113333,0.894375,0.892222,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.09625,0.831667,0.25,1.0,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.07375,0.846667,0.239375,1.0,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.05625,0.835,0.245,0.99,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.968125,0.844167,0.999375,0.999167,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.0,0.904167,0.100625,0.999167,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.148125,0.0875,0.181875,0.301667,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.2125,0.823333,0.2775,0.910833,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.35375,0.94,0.426875,0.999167,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.475,0.215,0.50625,0.258333,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.55625,0.195833,0.608125,0.299167,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.570625,0.9475,0.63,0.996667,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.584375,0.605,0.6375,0.646667,/m/0kbfd
0188a3ff0d8a27de,https://c7.staticflickr.com/5/4077/4940384835_c56a0a3068_o.jpg,https://www.flickr.com/photos/popculturegeek/4940384835,0.648125,0.616667,0.7,0.644167,/m/0kbfd
00b7dfa6afa343d0,https://farm1.staticflickr.com/7370/9541044585_e8390dfb46_o.jpg,https://www.flickr.com/photos/97930879@N02/9541044585,0.178097,0.136667,0.675885,0.606667,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.563281,0.422917,0.760156,0.684375,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.025,0.267708,0.251563,0.729167,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.135156,0.378125,0.353906,0.778125,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.742188,0.190625,0.775781,0.309375,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.769531,0.190625,0.804688,0.298958,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.174219,0.148958,0.277344,0.30625,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.364062,0.148958,0.395312,0.211458,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.688281,0.254167,0.694531,0.269792,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.694531,0.257292,0.703906,0.272917,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.727344,0.252083,0.740625,0.276042,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.735937,0.340625,0.861719,0.463542,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.809375,0.265625,0.826563,0.29375,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.889844,0.260417,0.909375,0.290625,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.046094,0.3125,0.242188,0.708333,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.148438,0.444792,0.304688,0.726042,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.749219,0.252083,0.771094,0.3,/m/0kbfd
a19ba7b6b0b2dab9,https://c2.staticflickr.com/4/3948/15429469520_ac8ae0f7af_o.jpg,https://www.flickr.com/photos/consorciobomberosvalencia/15429469520,0.757031,0.211458,0.773438,0.247917,/m/0kbfd
